,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1653,2328,-1,
1,2,1,1,0,0,0,144,1905,31,328,-1,
2,3,1,1,1,0,0,144,1905,31,328,-1,
3,4,1,1,1,1,0,144,1905,31,328,-1,
4,5,1,1,1,1,1,144,2179,30,54,94,EP
5,5,1,1,1,1,2,144,2142,31,21,94,3
6,5,1,1,1,1,3,144,2061,31,65,94,401
7,5,1,1,1,1,4,144,1968,31,71,90,396
8,5,1,1,1,1,5,144,1905,30,50,90,A1
9,2,1,2,0,0,0,429,153,88,28,-1,
10,3,1,2,1,0,0,429,153,88,28,-1,
11,4,1,2,1,1,0,429,153,88,16,-1,
12,5,1,2,1,1,1,429,153,88,16,84,Europaisches
13,4,1,2,1,2,0,429,170,71,11,-1,
14,5,1,2,1,2,1,429,170,71,11,96,Patentamt
15,2,1,3,0,0,0,429,196,89,28,-1,
16,3,1,3,1,0,0,429,196,89,28,-1,
17,4,1,3,1,1,0,429,196,63,15,-1,
18,5,1,3,1,1,1,429,196,63,15,95,European
19,4,1,3,1,2,0,429,212,89,12,-1,
20,5,1,3,1,2,1,429,213,43,11,96,Patent
21,5,1,3,1,2,2,478,212,40,12,90,Office
22,2,1,4,0,0,0,429,239,109,15,-1,
23,3,1,4,1,0,0,429,239,109,15,-1,
24,4,1,4,1,1,0,429,239,109,15,-1,
25,5,1,4,1,1,1,429,239,40,12,93,Office
26,5,1,4,1,1,2,474,239,64,15,93,européen
27,2,1,5,0,0,0,221,136,334,150,-1,
28,3,1,5,1,0,0,221,136,334,150,-1,
29,4,1,5,1,1,0,221,136,334,150,-1,
30,5,1,5,1,1,1,221,136,334,150,95, 
31,2,1,6,0,0,0,234,245,1226,385,-1,
32,3,1,6,1,0,0,234,245,1226,385,-1,
33,4,1,6,1,1,0,429,245,1031,38,-1,
34,5,1,6,1,1,1,429,255,77,12,55,—
35,5,1,6,1,1,2,1002,256,44,27,90,(11)
36,5,1,6,1,1,3,1146,245,52,32,96,EP
37,5,1,6,1,1,4,1214,245,20,32,96,3
38,5,1,6,1,1,5,1248,245,64,32,96,401
39,5,1,6,1,1,6,1332,245,68,32,91,396
40,5,1,6,1,1,7,1413,245,47,32,90,A1
41,4,1,6,1,2,0,236,319,878,31,-1,
42,5,1,6,1,2,1,236,324,34,26,96,12)
43,5,1,6,1,2,2,577,319,156,26,96,EUROPEAN
44,5,1,6,1,2,3,735,320,156,24,95,PATENT
45,5,1,6,1,2,4,901,319,213,26,96,APPLICATION
46,4,1,6,1,3,0,234,395,754,26,-1,
47,5,1,6,1,3,1,234,395,36,26,95,43)
48,5,1,6,1,3,2,286,397,48,18,95,Date
49,5,1,6,1,3,3,342,397,20,18,96,of
50,5,1,6,1,3,4,370,397,117,23,96,publication:
51,5,1,6,1,3,5,862,395,44,26,93,(51)
52,5,1,6,1,3,6,923,397,25,18,31,Int
53,5,1,6,1,3,7,955,397,33,18,31,Cl:
54,4,1,6,1,4,0,287,425,1093,23,-1,
55,5,1,6,1,4,1,287,430,116,18,89,14.11.2018
56,5,1,6,1,4,2,426,430,84,18,89,Bulletin
57,5,1,6,1,4,3,519,430,84,18,95,2018/46
58,5,1,6,1,4,4,923,428,60,18,88,C12N
59,5,1,6,1,4,5,991,428,45,18,76,9102
60,5,1,6,1,4,6,1041,425,67,16,76,2006.01)
61,5,1,6,1,4,7,1195,428,59,20,31,€12@
62,5,1,6,1,4,8,1264,428,44,18,75,1168
63,5,1,6,1,4,9,1313,425,67,16,56,(2018.00)
64,4,1,6,1,5,0,921,455,484,21,-1,
65,5,1,6,1,5,1,921,458,62,18,79,A61K
66,5,1,6,1,5,2,990,458,59,18,87,31100
67,5,1,6,1,5,3,1054,455,67,16,68,(2008.01)
68,5,1,6,1,5,4,1192,458,63,18,60,A61K
69,5,1,6,1,5,5,1261,458,72,18,94,311015
70,5,1,6,1,5,6,1338,455,67,16,71,(2006.01)
71,4,1,6,1,6,0,234,486,1173,33,-1,
72,5,1,6,1,6,1,234,493,36,26,96,21)
73,5,1,6,1,6,2,285,495,115,23,96,Application
74,5,1,6,1,6,3,410,495,83,18,93,number:
75,5,1,6,1,6,4,505,495,122,18,92,18181011.0
76,5,1,6,1,6,5,921,488,62,19,87,A61K
77,5,1,6,1,6,6,990,488,72,19,77,35/747
78,5,1,6,1,6,7,1067,486,67,15,77,(2015.01)
79,5,1,6,1,6,8,1194,488,60,21,82,C12Q
80,5,1,6,1,6,9,1264,488,71,19,95,116883
81,5,1,6,1,6,10,1340,486,67,15,59,218.01)
82,4,1,6,1,7,0,924,516,469,23,-1,
83,5,1,6,1,7,1,924,519,59,20,69,C12Q
84,5,1,6,1,7,2,993,519,57,18,76,11689
85,5,1,6,1,7,3,1056,516,66,16,73,(2078.01)
86,5,1,6,1,7,4,1194,519,62,18,50,GO1N
87,5,1,6,1,7,5,1262,519,46,18,88,33/49
88,5,1,6,1,7,6,1309,516,84,21,80,(2006.01)
89,4,1,6,1,8,0,376,547,1015,21,-1,
90,5,1,6,1,8,1,376,561,14,3,91,ili
91,5,1,6,1,8,2,923,550,61,18,43,GOIN
92,5,1,6,1,8,3,991,550,59,18,95,30/00
93,5,1,6,1,8,4,1056,547,66,16,55,(2096.07)
94,5,1,6,1,8,5,1194,550,60,18,56,GO6F
95,5,1,6,1,8,6,1262,550,57,18,94,19/00
96,5,1,6,1,8,7,1324,547,67,16,85,(2018.01)
97,4,1,6,1,9,0,234,560,316,19,-1,
98,5,1,6,1,9,1,234,560,27,19,96,22)
99,5,1,6,1,9,2,286,561,48,18,95,Date
100,5,1,6,1,9,3,342,566,12,13,96,of
101,5,1,6,1,9,4,355,561,67,18,96,filing:
102,5,1,6,1,9,5,432,561,118,18,96,03.10.2013
103,4,1,6,1,10,0,404,566,989,33,-1,
104,5,1,6,1,10,1,404,566,12,18,22,2
105,5,1,6,1,10,2,923,580,60,19,38,GOGF
106,5,1,6,1,10,3,991,580,57,19,72,19/22
107,5,1,6,1,10,4,1052,578,67,15,72,(2017.00)
108,5,1,6,1,10,5,1194,580,62,19,90,G16H
109,5,1,6,1,10,6,1262,580,59,19,88,50130
110,5,1,6,1,10,7,1327,578,66,15,75,(2018.97)
111,4,1,6,1,11,0,921,609,200,21,-1,
112,5,1,6,1,11,1,921,611,62,19,67,A61K
113,5,1,6,1,11,2,990,611,59,19,84,35/00
114,5,1,6,1,11,3,1054,609,67,15,58,(2006.01)
115,2,1,7,0,0,0,224,662,1243,6,-1,
116,3,1,7,1,0,0,224,662,1243,6,-1,
117,4,1,7,1,1,0,224,662,1243,6,-1,
118,5,1,7,1,1,1,224,662,1243,6,95, 
119,2,1,8,0,0,0,234,681,590,119,-1,
120,3,1,8,1,0,0,234,681,590,119,-1,
121,4,1,8,1,1,0,234,681,379,27,-1,
122,5,1,8,1,1,1,234,681,36,27,96,84)
123,5,1,8,1,1,2,286,683,118,23,96,Designated
124,5,1,8,1,1,3,413,683,119,23,96,Contracting
125,5,1,8,1,1,4,542,683,71,19,96,States:
126,4,1,8,1,2,0,285,716,537,18,-1,
127,5,1,8,1,2,1,285,716,31,18,94,AL
128,5,1,8,1,2,2,323,716,31,18,94,AT
129,5,1,8,1,2,3,363,716,30,18,95,BE
130,5,1,8,1,2,4,403,716,32,18,95,BG
131,5,1,8,1,2,5,445,716,31,18,96,CH
132,5,1,8,1,2,6,486,716,32,18,96,CY
133,5,1,8,1,2,7,526,716,30,18,96,CZ
134,5,1,8,1,2,8,565,716,30,18,96,DE
135,5,1,8,1,2,9,605,716,32,18,93,DK
136,5,1,8,1,2,10,646,716,29,18,93,EE
137,5,1,8,1,2,11,684,716,29,18,95,ES
