,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1700,2200,-1,
1,2,1,1,0,0,0,216,195,497,39,-1,
2,3,1,1,1,0,0,216,195,497,39,-1,
3,4,1,1,1,1,0,216,195,497,39,-1,
4,5,1,1,1,1,1,216,212,39,22,84,az
5,5,1,1,1,1,2,271,195,142,35,96,United
6,5,1,1,1,1,3,433,195,124,35,95,States
7,5,1,1,1,1,4,576,196,137,34,96,Patent
8,2,1,2,0,0,0,271,246,154,23,-1,
9,3,1,2,1,0,0,271,246,154,23,-1,
10,4,1,2,1,1,0,271,246,154,23,-1,
11,5,1,2,1,1,1,271,246,59,23,96,Haus
12,5,1,2,1,1,2,332,252,37,17,96,et
13,5,1,2,1,1,3,371,246,54,23,92,al.
14,2,1,3,0,0,0,821,42,124,68,-1,
15,3,1,3,1,0,0,821,42,124,68,-1,
16,4,1,3,1,1,0,821,42,124,68,-1,
17,5,1,3,1,1,1,821,42,124,68,95, 
18,2,1,4,0,0,0,1059,111,189,20,-1,
19,3,1,4,1,0,0,1059,111,189,20,-1,
20,4,1,4,1,1,0,1059,111,189,20,-1,
21,5,1,4,1,1,1,1059,111,189,20,81,US010142485B1
22,2,1,5,0,0,0,1136,42,332,68,-1,
23,3,1,5,1,0,0,1136,42,332,68,-1,
24,4,1,5,1,1,0,1136,42,332,68,-1,
25,5,1,5,1,1,1,1136,42,332,68,95, 
26,2,1,6,0,0,0,1095,213,22,21,-1,
27,3,1,6,1,0,0,1095,213,22,21,-1,
28,4,1,6,1,1,0,1095,213,22,21,-1,
29,5,1,6,1,1,1,1095,213,22,21,95,  
30,2,1,7,0,0,0,1169,202,291,73,-1,
31,3,1,7,1,0,0,1169,202,291,73,-1,
32,4,1,7,1,1,0,1169,202,291,34,-1,
33,5,1,7,1,1,1,1169,202,48,28,96,US
34,5,1,7,1,1,2,1233,202,171,34,92,"10,142,485"
35,5,1,7,1,1,3,1418,202,42,27,89,B1
36,4,1,7,1,2,0,1267,246,189,29,-1,
37,5,1,7,1,2,1,1267,246,64,23,96,Nov.
38,5,1,7,1,2,2,1342,246,40,29,96,"27,"
39,5,1,7,1,2,3,1392,246,64,23,96,2018
40,2,1,8,0,0,0,898,207,270,67,-1,
41,3,1,8,1,0,0,898,207,270,67,-1,
42,4,1,8,1,1,0,898,207,197,28,-1,
43,5,1,8,1,1,1,898,212,40,23,93,(10)
44,5,1,8,1,1,2,952,207,91,23,95,Patent
45,5,1,8,1,1,3,1056,207,39,23,96,No
46,4,1,8,1,2,0,898,246,270,28,-1,
47,5,1,8,1,2,1,898,251,40,23,95,(45)
48,5,1,8,1,2,2,952,246,65,23,96,Date
49,5,1,8,1,2,3,1030,246,29,23,96,of
50,5,1,8,1,2,4,1068,246,100,23,96,Patent:
51,2,1,9,0,0,0,214,291,1249,4,-1,
52,3,1,9,1,0,0,214,291,1249,4,-1,
53,4,1,9,1,1,0,214,291,1249,4,-1,
54,5,1,9,1,1,1,214,291,1249,4,95, 
55,2,1,10,0,0,0,216,335,596,22,-1,
56,3,1,10,1,0,0,216,335,596,22,-1,
57,4,1,10,1,1,0,216,335,596,22,-1,
58,5,1,10,1,1,1,216,335,39,22,92,(54)
59,5,1,10,1,1,2,282,335,173,17,92,CONFERENCE
60,5,1,10,1,1,3,465,335,68,17,94,CALL
61,5,1,10,1,1,4,541,335,73,17,94,MUTE
62,5,1,10,1,1,5,624,335,188,17,95,MANAGEMENT
63,2,1,11,0,0,0,216,387,578,51,-1,
64,3,1,11,1,0,0,216,387,578,51,-1,
65,4,1,11,1,1,0,216,387,578,23,-1,
66,5,1,11,1,1,1,216,387,39,23,74,(71)
67,5,1,11,1,1,2,281,387,103,23,87,Applicant:
68,5,1,11,1,1,3,398,388,79,22,96,Capital
69,5,1,11,1,1,4,485,388,43,17,96,One
70,5,1,11,1,1,5,539,388,91,21,89,"Services,"
71,5,1,11,1,1,6,640,388,56,21,96,"LLC,"
72,5,1,11,1,1,7,706,388,88,21,96,"McLean,"
73,4,1,11,1,2,0,397,415,88,23,-1,
74,5,1,11,1,2,1,397,416,34,17,93,VA
75,5,1,11,1,2,2,439,415,46,23,93,(US)
76,2,1,12,0,0,0,216,468,526,51,-1,
77,3,1,12,1,0,0,216,468,526,51,-1,
78,4,1,12,1,1,0,216,468,496,22,-1,
79,5,1,12,1,1,1,216,468,39,22,85,(72)
80,5,1,12,1,1,2,282,468,98,17,85,Inventors:
